,avg_rank,n,n_trials,pct_goods,pct_losses,pct_wins,rank_sd,w
0,4.0,10,1,100.0,0.0,0.0,0.0,0
1,6.0,10,1,0.0,0.0,0.0,0.0,1
2,1.0,10,1,100.0,0.0,100.0,0.0,2
3,5.0,10,1,100.0,0.0,0.0,0.0,3
4,1.0,10,1,100.0,0.0,100.0,0.0,4
5,5.0,10,1,100.0,0.0,0.0,0.0,5
6,1.0,10,1,100.0,0.0,100.0,0.0,6
7,5.0,10,1,100.0,0.0,0.0,0.0,7
8,5.0,10,1,100.0,0.0,0.0,0.0,8
9,2.0,10,1,100.0,0.0,0.0,0.0,9
10,6.4,10,10,30.0,20.0,20.0,3.32,0
11,3.8,10,10,70.0,0.0,10.0,2.36,1
12,3.1,10,10,90.0,0.0,20.0,1.87,2
13,2.1,10,10,100.0,0.0,60.0,1.37,3
14,5.7,10,10,40.0,10.0,20.0,3.38,4
15,3.9,10,10,70.0,10.0,30.0,2.91,5
16,3.0,10,10,80.0,0.0,50.0,2.24,6
17,4.7,10,10,60.0,10.0,20.0,3.2,7
18,5.5,10,10,50.0,0.0,10.0,2.91,8
19,5.9,10,10,40.0,0.0,20.0,2.91,9
20,5.71,10,100,51.0,12.0,6.0,2.91,0
21,3.35,10,100,79.0,1.0,28.999999999999996,2.34,1
22,2.48,10,100,90.0,0.0,49.0,2.04,2
23,2.61,10,100,89.0,1.0,39.0,2.11,3
24,3.52,10,100,74.0,4.0,30.0,2.73,4
25,3.72,10,100,74.0,4.0,39.0,3.08,5
26,5.14,10,100,53.0,10.0,22.0,3.12,6
27,4.81,10,100,60.0,10.0,22.0,3.09,7
28,4.85,10,100,57.99999999999999,7.000000000000001,22.0,3.01,8
29,5.67,10,100,49.0,16.0,11.0,3.13,9
30,5.5,10,1000,49.6,10.100000000000001,11.600000000000001,2.93,0
31,3.39,10,1000,81.0,1.5,26.900000000000002,2.35,1
32,2.98,10,1000,85.8,3.1,34.4,2.34,2
33,3.02,10,1000,82.39999999999999,2.9000000000000004,40.8,2.57,3
34,3.4,10,1000,75.6,5.0,39.900000000000006,2.87,4
35,3.63,10,1000,73.2,6.2,38.3,3.01,5
36,4.11,10,1000,66.3,7.3,32.800000000000004,3.13,6
37,4.56,10,1000,60.4,7.3999999999999995,26.1,3.11,7
38,5.17,10,1000,53.6,8.4,15.6,2.93,8
39,5.45,10,1000,50.8,10.0,11.700000000000001,2.89,9
40,5.48,10,10000,50.14999999999999,9.84,9.91,2.85,0
41,3.28,10,10000,81.51,1.0999999999999999,29.13,2.31,1
42,2.94,10,10000,85.32,2.21,37.019999999999996,2.34,2
43,3.03,10,10000,82.64,3.4299999999999997,39.57,2.57,3
44,3.29,10,10000,77.92,4.569999999999999,40.25,2.83,4
45,3.68,10,10000,72.27,5.7,37.12,3.02,5
46,4.09,10,10000,66.64999999999999,6.4,32.68,3.09,6
47,4.55,10,10000,60.6,7.51,26.44,3.1,7
48,5.01,10,10000,55.769999999999996,8.88,18.85,3.04,8
49,5.48,10,10000,50.17,9.78,9.92,2.87,9
50,5.49,10,100000,50.075,10.138,10.059,2.87,0
51,3.31,10,100000,81.57,1.098,28.292,2.3,1
52,2.93,10,100000,85.803,2.254,36.631,2.32,2
53,3.03,10,100000,82.595,3.386,39.757,2.58,3
54,3.29,10,100000,77.777,4.362,39.895,2.81,4
55,3.67,10,100000,72.109,5.582,37.44,3.0,5
56,4.08,10,100000,66.715,6.648999999999999,32.862,3.09,6
57,4.55,10,100000,60.901,7.827000000000001,26.491,3.12,7
58,5.02,10,100000,55.264,8.865,18.845,3.04,8
59,5.5,10,100000,49.938,9.972,9.931,2.87,9
